voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
kirk-bohls,boise-state-broncos,-0.2634346179405821,-0.2912554607735658,-0.3090119301714388,-3.3846153846153846,-3.515057692307692,52
gary-horowitz,boise-state-broncos,-0.1314444535640088,-0.1589235572128711,-0.175690377388017,-2.019607843137255,-2.195411764705882,51
robert-cessna,boise-state-broncos,-0.0716544345080513,-0.0946665161655224,-0.1101483386709288,-1.2692307692307692,-1.4358076923076923,52
chris-murray,boise-state-broncos,-0.0702153819672011,-0.1007448653361198,-0.1148703115890528,-1.2941176470588236,-1.6094117647058823,51
