season,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
2018,south-florida-bulls,-4.261473076923076,-4.100413461538461,-5.05221923076923,-4.309767307692308,-4.606971153846154,-5.514561538461539,-6.803809615384615,-6.2874346153846155,-8.85475,-4.923076923076923,-3.9995961538461535
2018,tcu-horned-frogs,-1.4877365079365077,-1.4877365079365077,0.0,-14.218415873015871,-14.218415873015871,0.0,-12.57475873015873,-12.57475873015873,0.0,-0.25396825396825395,-7.053031746031746
2018,utah-utes,-5.0258,-7.735812903225807,-3.2539354838709675,-8.696451612903225,-0.7561467741935485,-9.718922580645161,-9.733798387096774,-2.5132564516129032,-10.32467258064516,-8.35483870967742,-10.437177419354839
2018,cincinnati-bearcats,-7.139739655172414,-6.6185,-4.453503448275862,-3.9997551724137934,-3.2808896551724134,-2.80148275862069,-7.60476724137931,-8.07873275862069,-5.308801724137931,-9.46551724137931,-4.07251724137931
2018,florida-state-seminoles,-2.5231851851851848,-2.5231851851851848,0.0,-10.101857407407408,-10.101857407407408,0.0,-8.446988888888889,-8.446988888888889,0.0,-0.1111111111111111,-1.397111111111111
2018,boise-state-broncos,-3.7566265625,-3.8424015625,-1.13803125,-7.0283796875,-7.8223359375,-4.4692046874999996,-9.0136859375,-10.382978125,-5.7869093750000005,-7.140625,-9.652984375
2018,colorado-buffaloes,-1.7150016666666663,-1.7150016666666663,0.0,-6.103998333333334,-6.103998333333334,0.0,-7.255095,-7.255095,0.0,-2.9833333333333334,-3.511883333333333
2018,texas-am-aggies,-5.045798412698413,-6.445101587301587,-3.5967031746031743,-8.447839682539682,-7.2933063492063495,-9.394301587301587,-9.824774603174605,-10.711077777777778,-9.15887619047619,-8.73015873015873,-10.700507936507936
2018,north-carolina-state-wolfpack,-5.178011111111111,-2.1409698412698415,-7.837869841269841,-7.8104603174603175,-9.54889365079365,-5.674249206349206,-8.13605238095238,-8.9152,-7.330036507936508,-6.063492063492063,-6.242
2018,texas-tech-red-raiders,-14.845912903225805,-12.842309677419355,-8.077022580645162,-3.9435709677419353,-4.392187096774194,-1.9106709677419356,-4.242574193548387,-5.341106451612903,-1.115632258064516,-4.645161290322581,-1.1824516129032259
2018,houston-cougars,7.183870175438596,-2.6822315789473685,9.527956140350875,-8.474354385964913,-0.05858245614035091,-9.24431403508772,-5.94218947368421,-0.5341894736842105,-6.190863157894737,0.5964912280701754,-2.026842105263158
2018,iowa-state-cyclones,-7.4147864406779656,-0.6924237288135594,-7.510352542372881,-4.953527118644068,-0.3526677966101695,-5.0399847457627125,-6.933589830508474,-0.3526677966101695,-7.038959322033898,-7.813559322033898,-3.886491525423729
2018,california-golden-bears,-17.768213636363637,-17.768213636363637,0.0,-2.2856636363636365,-2.2856636363636365,0.0,-4.5425545454545455,-4.5425545454545455,0.0,-5.7272727272727275,-1.0228636363636363
