voter,Conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
bob-asmussen,acc,0.016856399437412094,0.035541209563994376,0.01488424753867792,-0.29709240506329115,-0.288450070323488,-0.27043586497890293,-0.2815101265822785,-0.2691912798874824,-0.25981518987341773,2.9085794655414907,-14.01998734177215
bob-asmussen,mac,-0.21994114832535885,-0.230744019138756,-0.15300813397129187,-0.849997129186603,-0.9112177033492823,-0.6828832535885168,-0.8240885167464115,-0.8835488038277511,-0.6540248803827752,-10.746411483253588,-34.575837320574166
bob-asmussen,pac-12,0.012335411764705881,-0.006572235294117647,0.02549576470588235,-0.15075623529411764,-0.15921352941176473,-0.11509635294117647,-0.14437129411764704,-0.14953376470588237,-0.11199,3.496470588235294,-13.444750588235294
bob-asmussen,sec,0.051331450827653356,0.04917838364167478,0.04153612463485881,-0.3841087633885102,-0.37516718597857834,-0.3505069133398247,-0.3647840311587147,-0.35183057448880234,-0.33957565725413824,2.3836416747809155,-18.87108860759494
bob-asmussen,big-12,0.011503649635036495,0.025484914841849147,0.01063905109489051,-0.19006216545012164,-0.17538576642335768,-0.15574756690997565,-0.18260778588807786,-0.1674794403892944,-0.1482984184914842,3.448905109489051,-13.939778588807785
bob-asmussen,big-ten,-0.08229393511988717,-0.05268688293370945,-0.05976995768688293,-0.298242736248237,-0.25778857545839207,-0.2482561354019746,-0.28813568406205925,-0.24167813822284906,-0.24496036671368124,-5.9605077574047955,-23.34062059238364
bob-asmussen,cusa,-0.125244,-0.055365333333333336,-0.132832,-0.12237733333333334,-0.022378666666666665,-0.148708,-0.131344,-0.02576,-0.15422666666666668,-11.986666666666666,-14.043973333333334
bob-asmussen,mwc,-0.05782010309278351,0.0016896907216494839,-0.08330567010309278,-0.07446701030927835,-0.03172938144329897,-0.08407525773195877,-0.08711288659793814,-0.03993814432989691,-0.09486134020618557,-5.489690721649485,-8.62841237113402
bob-asmussen,american,-0.10244765625,-0.07023932291666667,-0.10675546875000001,-0.17613776041666665,-0.10873385416666666,-0.1717640625,-0.18238385416666666,-0.11606588541666667,-0.1787078125,-11.859375,-19.012950520833332
brent-axe,acc,-0.03977230392156863,-0.04107254901960784,-0.015917892156862744,-0.3563142156862745,-0.342871568627451,-0.3231607843137255,-0.3399710784313726,-0.32195833333333335,-0.3107887254901961,-2.105392156862745,-17.850676470588237
brent-axe,sec,0.0074400352733686075,-0.011102645502645501,0.011147971781305116,-0.3891310405643739,-0.39636437389770723,-0.36920723104056435,-0.3740477954144621,-0.3770425044091711,-0.362326278659612,0.9029982363315696,-18.1057442680776
brent-axe,mac,0.0012902439024390212,0.028111382113821137,-0.007344715447154475,-0.5022642276422764,-0.5736235772357724,-0.4239829268292683,-0.4470910569105691,-0.5062146341463414,-0.381539837398374,-2.341463414634146,-26.750130081300814
brent-axe,pac-12,0.015556686626746507,-0.025650099800399197,0.04105888223552894,-0.16144830339321356,-0.2020193612774451,-0.09218662674650697,-0.14965988023952098,-0.18440938123752496,-0.08826447105788424,5.455089820359281,-10.445950099800399
brent-axe,big-12,-0.01308194774346793,0.023026840855106888,-0.00897838479809976,-0.24533467933491687,-0.20046793349168643,-0.2061249406175772,-0.23426152019002375,-0.18948266033254157,-0.19202802850356296,0.503562945368171,-19.084608076009502
brent-axe,big-ten,0.00812997347480106,0.015948806366047744,0.015051724137931035,-0.20050318302387266,-0.19526259946949603,-0.16862758620689655,-0.18984907161803713,-0.17950424403183024,-0.16475517241379312,1.8196286472148542,-16.44232625994695
brent-axe,mwc,-0.08700431034482758,-0.02257758620689655,-0.10547672413793104,-0.11478706896551724,-0.0836155172413793,-0.10398534482758622,-0.12764137931034483,-0.09032931034482759,-0.11283965517241379,-9.206896551724139,-11.76226724137931
brent-axe,american,-0.163439,-0.08651049999999999,-0.188185,-0.21792,-0.1179345,-0.23525549999999998,-0.227411,-0.130832,-0.24190899999999999,-16.33,-23.359434999999998
brent-axe,cusa,-0.0814,0.0,-0.0814,-0.061955555555555555,0.0,-0.061955555555555555,-0.08351851851851852,0.0,-0.08351851851851852,-3.925925925925926,-3.6479629629629633
brett-mcmurphy,acc,-0.02637479224376731,-0.0493016620498615,0.030529916897506927,-0.3240347645429363,-0.3671062326869806,-0.22513684210526316,-0.314086703601108,-0.35695096952908584,-0.2162871191135734,0.5166204986149584,-14.05498891966759
brett-mcmurphy,sec,-0.017594465648854963,-0.031460973282442746,-0.007743702290076337,-0.4898299618320611,-0.511586927480916,-0.4197679389312977,-0.47282366412213744,-0.4904418893129771,-0.4104607824427481,-0.44083969465648853,-21.473449427480915
brett-mcmurphy,pac-12,-0.11720271940667491,-0.1780316440049444,-0.0721478368355995,-0.3037187886279357,-0.3686075401730532,-0.22223164400494438,-0.29446427688504323,-0.3535676143386898,-0.2189215080346106,-6.797280593325093,-22.720828182941904
brett-mcmurphy,mac,0.21115265700483093,0.3890376811594203,0.05369275362318841,-0.4162357487922705,-0.34190531400966184,-0.4757608695652174,-0.3997449275362319,-0.3250927536231884,-0.4589942028985507,5.0772946859903385,-18.537004830917876
brett-mcmurphy,big-12,-0.04861980676328502,-0.03787548309178744,-0.009507608695652174,-0.2557201690821256,-0.2524425120772947,-0.17152185990338162,-0.24788260869565218,-0.24188659420289854,-0.165642270531401,-0.32367149758454106,-16.937288647342996
brett-mcmurphy,big-ten,0.014508426966292134,0.016451685393258426,0.027183426966292137,-0.21227191011235955,-0.2123945224719101,-0.1593195224719101,-0.2029293539325843,-0.19991376404494385,-0.15326123595505617,1.5786516853932584,-16.153605337078652
brett-mcmurphy,mwc,-0.09632060301507538,-0.0777713567839196,-0.06703165829145728,-0.09529597989949748,-0.07977386934673367,-0.07652562814070352,-0.10647989949748743,-0.08861608040201005,-0.08607035175879398,-9.21105527638191,-10.957683417085429
