year,week,voters
2014,11,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,12,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,13,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,14,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,15,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,16,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,17,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'michael-lev', 'pete-diprimio', 'kirk-bohls', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2015,1,"('jimmy-burch', 'ken-medlin', 'mitch-vingle', 'jeff-seidel', 'john-clay', 'robert-gagliardi', 'brian-howell', 'jay-binkley', 'nathan-deen', 'sam-mckewon', 'joel-klatt', 'scott-wolf', 'jim-polzin', 'steve-batterson', 'tom-murphy', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'garland-gillen', 'michael-lev', 'chadd-cripe', 'garry-smits', 'pete-diprimio', 'kirk-bohls', 'bob-asmussen', 'ed-daigneault', 'duane-rankin', 'laura-keeley', 'gary-horowitz', 'daniel-berk', 'john-adams', 'eric-avidon', 'jim-dunaway', 'mike-sorensen', 'rustin-dodd', 'ross-dellenger', 'jon-wilner', 'doug-lesmerises', 'david-briggs', 'nate-sandell', 'marc-weiszer', 'adam-zucker', 'mike-sands', 'dave-reardon', 'robert-cessna', 'tom-dangelo', 'steve-layman', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'matt-charboneau', 'chris-murray', 'sam-werner', 'adam-jude', 'scott-hamilton', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2015,3,"('jimmy-burch', 'ken-medlin', 'mitch-vingle', 'jeff-seidel', 'john-clay', 'robert-gagliardi', 'brian-howell', 'jay-binkley', 'nathan-deen', 'sam-mckewon', 'joel-klatt', 'scott-wolf', 'jim-polzin', 'steve-batterson', 'tom-murphy', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'garland-gillen', 'michael-lev', 'chadd-cripe', 'garry-smits', 'pete-diprimio', 'kirk-bohls', 'bob-asmussen', 'ed-daigneault', 'duane-rankin', 'laura-keeley', 'gary-horowitz', 'daniel-berk', 'john-adams', 'eric-avidon', 'jim-dunaway', 'mike-sorensen', 'rustin-dodd', 'ross-dellenger', 'jon-wilner', 'doug-lesmerises', 'david-briggs', 'nate-sandell', 'marc-weiszer', 'adam-zucker', 'mike-sands', 'dave-reardon', 'robert-cessna', 'tom-dangelo', 'steve-layman', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'matt-charboneau', 'chris-murray', 'sam-werner', 'adam-jude', 'scott-hamilton', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2015,4,"('jimmy-burch', 'ken-medlin', 'mitch-vingle', 'jeff-seidel', 'john-clay', 'robert-gagliardi', 'brian-howell', 'jay-binkley', 'nathan-deen', 'sam-mckewon', 'joel-klatt', 'scott-wolf', 'jim-polzin', 'steve-batterson', 'tom-murphy', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'garland-gillen', 'michael-lev', 'chadd-cripe', 'garry-smits', 'pete-diprimio', 'kirk-bohls', 'bob-asmussen', 'ed-daigneault', 'duane-rankin', 'laura-keeley', 'gary-horowitz', 'john-adams', 'eric-avidon', 'jim-dunaway', 'mike-sorensen', 'rustin-dodd', 'ross-dellenger', 'jon-wilner', 'doug-lesmerises', 'david-briggs', 'nate-sandell', 'marc-weiszer', 'adam-zucker', 'mike-sands', 'dave-reardon', 'robert-cessna', 'tom-dangelo', 'steve-layman', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'matt-charboneau', 'chris-murray', 'sam-werner', 'adam-jude', 'scott-hamilton', 'john-shinn', 'ryan-finley', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2015,5,"('jimmy-burch', 'ken-medlin', 'mitch-vingle', 'jeff-seidel', 'john-clay', 'robert-gagliardi', 'brian-howell', 'jay-binkley', 'nathan-deen', 'sam-mckewon', 'joel-klatt', 'scott-wolf', 'jim-polzin', 'steve-batterson', 'tom-murphy', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'garland-gillen', 'michael-lev', 'chadd-cripe', 'garry-smits', 'pete-diprimio', 'kirk-bohls', 'bob-asmussen', 'ed-daigneault', 'duane-rankin', 'laura-keeley', 'gary-horowitz', 'john-adams', 'eric-avidon', 'jim-dunaway', 'mike-sorensen', 'rustin-dodd', 'ross-dellenger', 'jon-wilner', 'doug-lesmerises', 'david-briggs', 'nate-sandell', 'marc-weiszer', 'adam-zucker', 'mike-sands', 'dave-reardon', 'robert-cessna', 'tom-dangelo', 'steve-layman', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'matt-charboneau', 'chris-murray', 'sam-werner', 'adam-jude', 'scott-hamilton', 'john-shinn', 'ryan-finley', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
