season,voter,bias1-mean,bias1-std,bias2-mean,bias2-std,bias3-mean,bias3-std,bias0-ap-mean,bias0-ap-std,bias0-mean-mean,bias0-mean-std,n
2014,adam-jude,0.7577903682719547,0.3356940509915014,0.40297450424929177,0.6019830028328612,0.5835694050991501,0.4745042492917847,0.4752124645892351,0.28895184135977336,0.8654390934844193,0.3328611898016997,0.9624645892351275
2014,adam-sparks,0.11614730878186968,0.7620396600566572,0.1359773371104816,0.8470254957507082,0.1529745042492918,0.8342776203966006,0.1621813031161473,0.7436260623229461,0.4490084985835694,0.7294617563739377,0.9624645892351275
2014,adam-zucker,0.9858356940509915,0.9305949008498584,0.20254957507082152,0.8682719546742209,0.18980169971671387,0.8640226628895185,0.48725212464589235,0.34985835694050993,0.6614730878186968,0.3243626062322946,0.8902266288951841
2014,bill-rabinowitz,0.6997167138810199,0.4660056657223796,0.30807365439093487,0.6402266288951841,0.3696883852691218,0.5276203966005666,0.4376770538243626,0.22237960339943344,0.5552407932011332,0.17563739376770537,0.7754957507082153
2014,bob-asmussen,0.4440509915014164,0.5552407932011332,0.24645892351274787,0.7677053824362606,0.28257790368271957,0.7613314447592068,0.3002832861189802,0.6841359773371105,0.4773371104815864,0.7450424929178471,0.9624645892351275
2014,brent-axe,0.46458923512747874,0.31869688385269124,0.34419263456090654,0.6494334277620396,0.46388101983002833,0.5368271954674221,0.5276203966005666,0.4688385269121813,0.6182719546742209,0.47592067988668557,0.5276203966005666
2014,brett-mcmurphy,0.48796033994334276,0.9631728045325779,0.07223796033994334,0.9589235127478754,0.07436260623229461,0.9560906515580736,0.6607648725212465,0.7053824362606232,0.8087818696883853,0.7677053824362606,0.9624645892351275
2014,chadd-cripe,0.10835694050991501,0.8895184135977338,0.09277620396600567,0.8937677053824362,0.09135977337110482,0.8852691218130312,0.08073654390934844,0.8895184135977338,0.2563739376770538,0.8909348441926346,0.8902266288951841
2014,charles-davis,0.18696883852691218,0.7592067988668555,0.20892351274787535,0.8186968838526912,0.2769121813031161,0.7464589235127479,0.3838526912181303,0.5424929178470255,0.4886685552407932,0.5226628895184136,0.9624645892351275
2014,chris-murray,0.23796033994334279,0.6211048158640227,0.2669971671388102,0.7762039660056658,0.330028328611898,0.7372521246458924,0.42776203966005666,0.5028328611898017,0.6869688385269122,0.5439093484419264,0.8902266288951841
