year,week,teams
2014,11,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'miami-fl-hurricanes', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'george-washington-revolutionaries', 'north-carolina-tar-heels', 'colorado-state-rams', 'saint-marys-gaels', 'texas-longhorns', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'washington-huskies', 'georgia-bulldogs', 'louisiana-tech-bulldogs', 'oklahoma-sooners', 'stanford-cardinal', 'st-johns-red-storm', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'tennessee-volunteers', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'san-diego-state-aztecs', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'indiana-hoosiers', 'arizona-wildcats', 'southern-methodist-mustangs', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'georgetown-hoyas')"
2014,12,"('providence-friars', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'miami-fl-hurricanes', 'texas-am-aggies', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'saint-marys-gaels', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'georgia-bulldogs', 'oklahoma-sooners', 'stanford-cardinal', 'virginia-cavaliers', 'seton-hall-pirates', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'san-diego-state-aztecs', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'indiana-hoosiers', 'arizona-wildcats', 'southern-methodist-mustangs', 'lsu-tigers', 'tulsa-golden-hurricane', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'green-bay-phoenix', 'villanova-wildcats', 'georgetown-hoyas')"
2014,13,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'texas-am-aggies', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'temple-owls', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'georgia-bulldogs', 'louisiana-tech-bulldogs', 'oklahoma-sooners', 'stanford-cardinal', 'xavier-musketeers', 'virginia-cavaliers', 'seton-hall-pirates', 'valparaiso-beacons', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'utah-utes', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'murray-state-racers', 'southern-methodist-mustangs', 'arizona-wildcats', 'indiana-hoosiers', 'tulsa-golden-hurricane', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'georgetown-hoyas')"
2014,14,"('providence-friars', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'texas-am-aggies', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'temple-owls', 'texas-longhorns', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'xavier-musketeers', 'virginia-cavaliers', 'old-dominion-monarchs', 'valparaiso-beacons', 'harvard-crimson', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'utah-utes', 'butler-bulldogs', 'west-virginia-mountaineers', 'stephen-f-austin-lumberjacks', 'murray-state-racers', 'indiana-hoosiers', 'arizona-wildcats', 'southern-methodist-mustangs', 'cincinnati-bearcats', 'ole-miss-rebels', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'georgetown-hoyas')"
2014,15,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'texas-am-aggies', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'temple-owls', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'virginia-cavaliers', 'valparaiso-beacons', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'utah-utes', 'butler-bulldogs', 'west-virginia-mountaineers', 'murray-state-racers', 'southern-methodist-mustangs', 'arizona-wildcats', 'indiana-hoosiers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'georgetown-hoyas')"
2014,16,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'texas-am-aggies', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'virginia-cavaliers', 'valparaiso-beacons', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'oregon-ducks', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'murray-state-racers', 'southern-methodist-mustangs', 'arizona-wildcats', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'georgetown-hoyas')"
2014,17,"('providence-friars', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'texas-am-aggies', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'st-johns-red-storm', 'virginia-cavaliers', 'valparaiso-beacons', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'san-diego-state-aztecs', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'oregon-ducks', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'murray-state-racers', 'southern-methodist-mustangs', 'arizona-wildcats', 'lsu-tigers', 'boise-state-broncos', 'tulsa-golden-hurricane', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'byu-cougars', 'villanova-wildcats', 'georgetown-hoyas')"
2014,18,"('providence-friars', 'michigan-state-spartans', 'northern-iowa-panthers', 'kansas-jayhawks', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'st-johns-red-storm', 'virginia-cavaliers', 'valparaiso-beacons', 'north-florida-ospreys', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'oregon-ducks', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'southern-methodist-mustangs', 'arizona-wildcats', 'purdue-boilermakers', 'lsu-tigers', 'boise-state-broncos', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'byu-cougars', 'villanova-wildcats', 'georgetown-hoyas')"
2014,19,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'xavier-musketeers', 'virginia-cavaliers', 'valparaiso-beacons', 'harvard-crimson', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'oregon-ducks', 'west-virginia-mountaineers', 'utah-utes', 'butler-bulldogs', 'stephen-f-austin-lumberjacks', 'murray-state-racers', 'southern-methodist-mustangs', 'arizona-wildcats', 'purdue-boilermakers', 'lsu-tigers', 'boise-state-broncos', 'louisville-cardinals', 'wofford-terriers', 'maryland-terrapins', 'iowa-state-cyclones', 'byu-cougars', 'villanova-wildcats', 'georgetown-hoyas')"
2015,1,"('providence-friars', 'michigan-state-spartans', 'miami-fl-hurricanes', 'texas-am-aggies', 'kansas-jayhawks', 'byu-cougars', 'central-michigan-chippewas', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'texas-longhorns', 'iowa-hawkeyes', 'connecticut-huskies', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'iona-gaels', 'vanderbilt-commodores', 'oklahoma-sooners', 'michigan-wolverines', 'xavier-musketeers', 'florida-state-seminoles', 'virginia-cavaliers', 'old-dominion-monarchs', 'valparaiso-beacons', 'yale-bulldogs', 'georgetown-hoyas', nan, 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'san-diego-state-aztecs', 'oregon-ducks', 'uc-irvine-anteaters', 'utah-utes', 'butler-bulldogs', 'west-virginia-mountaineers', 'ucla-bruins', 'indiana-hoosiers', 'arizona-wildcats', 'southern-methodist-mustangs', 'california-golden-bears', 'purdue-boilermakers', 'lsu-tigers', 'boise-state-broncos', 'cincinnati-bearcats', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'north-carolina-state-wolfpack')"
