year,week,voters
2014,11,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,12,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,13,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,14,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,15,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,16,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,17,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,18,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,19,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2015,1,"('tod-palmer', 'bob-holt', 'marcus-jackson', 'michelle-kaufman', 'elton-alexander', 'jon-rothstein', 'bj-rains', 'jp-butler', 'mark-berman', 'john-feinstein', 'rick-bozich', 'jeff-faraudo', 'zac-boyer', 'john-mcnamara', 'mike-barber', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'scott-richey', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'tom-green', 'richard-croome', 'geoff-grammer', 'ryan-recker', 'christian-caple', 'marcus-fuller', 'seth-davis', 'pat-rooney', 'cecil-hurt', 'chris-goff', 'kelly-hines', 'terry-toohey', 'jason-butt', 'laura-keeley', 'bob-sutton', 'john-bohnenkamp', 'chuck-mcgill', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'john-werner', 'ray-coleman', 'doug-doughty', 'dana-oneil', 'kevin-mcnamara', 'adam-sparks', 'scott-mansch', 'jerry-carino', 'nick-carboni', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'shannon-ryan', 'scott-wolf', 'graham-couch', 'cormac-gordon', 'tyson-alger', 'jon-wilner')"
