season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2017,5,-1.0899,28.421,-33.1925,53.9399,-30.6324,50.7738,-0.2072,2.3799,-1.691,2.1604
2017,6,-0.172,27.3602,-33.3569,53.4534,-31.515,50.9309,-0.0498,2.132,-1.7517,2.0158
2017,7,-0.3672,26.4011,-33.4513,52.1815,-32.93,50.7037,-0.0914,2.0819,-1.8271,1.9822
2017,8,-0.3277,26.5008,-33.663,49.6808,-31.3041,48.5212,-0.0839,2.3346,-1.808,2.1991
2017,9,-0.4931,22.853,-32.4984,47.7507,-31.1033,46.845,-0.1159,2.016,-1.7633,1.9125
2017,10,-0.7088,30.3378,-33.5591,51.9594,-31.9481,50.4546,-0.1682,2.1537,-1.7375,1.9858
2017,11,-1.2186,27.2952,-32.7236,50.0757,-31.8845,49.3561,-0.2319,2.4676,-1.7249,2.1643
2017,12,-1.1011,27.7743,-32.7727,51.9098,-31.0592,50.2454,-0.2053,2.5715,-1.679,2.2573
2017,13,-0.5593,25.5577,-32.5244,50.6802,-30.7526,49.4087,-0.0998,2.1413,-1.7393,1.999
2017,14,-0.3798,37.6843,-34.9575,63.283,-35.7402,65.4266,-0.1178,1.828,-1.852,1.6944
2017,15,-0.4418,25.5962,-33.0976,52.1989,-32.102,50.1872,-0.1128,2.02,-1.8209,1.9052
2017,16,-1.8625,35.2512,-32.9782,57.5402,-31.6214,58.047,-0.2014,2.1544,-1.7204,1.9442
2018,1,-1.4268,38.5527,-35.295,60.9294,-33.0959,58.3874,-0.2789,3.035,-1.6397,2.7441
2018,2,-0.6843,40.4165,-35.1317,59.7046,-33.181,57.112,-0.1591,3.0655,-1.6945,2.7916
2018,3,-1.243,34.4543,-34.6043,57.7671,-32.804,54.6819,-0.2218,2.6772,-1.7276,2.4105
2018,4,-1.0279,31.1963,-33.7506,53.3686,-33.9041,53.5136,-0.2223,2.584,-1.736,2.3368
2018,5,-1.8933,26.8924,-32.6339,50.6179,-34.2127,51.6292,-0.3815,2.4911,-1.7018,2.0682
2018,6,-1.098,27.3107,-32.8638,51.6805,-31.365,50.3959,-0.2198,2.2562,-1.7413,1.9569
2018,7,-0.9485,27.7702,-32.8753,51.0057,-31.5812,50.0137,-0.1797,2.3933,-1.7286,2.2399
2018,8,-1.6719,23.7604,-32.0057,47.9166,-30.737,47.0384,-0.3415,2.5188,-1.6977,2.198
2018,9,-1.0024,23.2849,-32.4256,47.6553,-31.247,47.0928,-0.2219,2.3399,-1.7451,2.15
2018,10,-1.7561,19.0233,-31.0876,45.3276,-30.2506,44.8669,-0.3615,2.3509,-1.6998,1.8706
2018,11,-1.727,23.5397,-31.5281,46.1899,-31.0242,46.0536,-0.3118,2.8853,-1.6678,2.4138
2018,12,-1.7053,19.7224,-30.9008,45.1561,-29.975,45.2397,-0.3255,2.4169,-1.6694,2.1277
2018,13,-0.7748,17.9707,-30.897,44.7797,-30.0128,44.5488,-0.161,2.2593,-1.6881,2.0745
2018,14,-0.5387,20.1785,-31.4552,45.4081,-30.4472,45.1728,-0.1211,2.4297,-1.7031,2.278
2018,15,-0.909,19.4707,-31.1968,45.0673,-31.0537,45.2282,-0.185,2.3612,-1.7029,2.118
2018,16,-1.1989,24.0718,-32.0438,47.2851,-31.4302,46.8151,-0.2554,2.3903,-1.7054,2.1734
2019,1,-2.3065,32.0127,-33.461,54.2786,-30.751,52.3803,-0.4354,3.0436,-1.6245,2.6631
2019,2,-1.07,28.9089,-33.2763,52.6074,-30.8465,50.6546,-0.2137,2.6707,-1.6759,2.459
2019,3,-1.2773,28.64,-33.2596,51.5593,-31.1123,49.5058,-0.2699,2.7853,-1.6991,2.4925
