season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2015,arkansas-razorbacks,-0.1033,0.3259,-0.0996,0.3129,-0.1141,0.3144
2015,auburn-tigers,-0.1713,0.6859,-0.4571,0.8065,-0.417,0.7684
2015,baylor-bears,0.1399,0.7088,-0.6934,1.0044,-0.5717,0.944
2015,boise-state-broncos,-0.0694,0.15,-0.0626,0.1348,-0.0814,0.1436
2015,bowling-green-falcons,-0.205,0.2123,-0.066,0.0584,-0.066,0.0584
2015,byu-cougars,-0.0541,0.169,-0.0689,0.1463,-0.0935,0.152
2015,california-golden-bears,-0.0593,0.137,-0.0724,0.1317,-0.0871,0.1349
2015,cincinnati-bearcats,-0.4444,,-0.1111,,-0.1111,
2015,clemson-tigers,0.0698,0.6064,-0.9969,1.0029,-0.8754,0.9114
2015,duke-blue-devils,-0.057,0.1118,-0.0675,0.1118,-0.0911,0.1142
2015,florida-gators,-0.0441,0.4074,-0.2336,0.477,-0.2219,0.4965
2015,florida-state-seminoles,-0.0067,0.319,-0.2239,0.3466,-0.2062,0.3411
2015,georgia-bulldogs,-0.0513,0.4934,-0.2878,0.5462,-0.239,0.5144
2015,georgia-tech-yellow-jackets,-0.0123,0.2356,-0.1474,0.2573,-0.159,0.2666
2015,houston-cougars,-0.0067,0.2015,-0.1369,0.2215,-0.1228,0.2129
2015,iowa-hawkeyes,0.0439,0.2838,-0.3025,0.3319,-0.2941,0.3218
2015,kansas-state-wildcats,-0.1278,0.0837,-0.0178,0.0715,-0.0325,0.0728
2015,kentucky-wildcats,-0.0852,0.0639,-0.0435,0.0615,-0.0435,0.0615
2015,louisville-cardinals,-0.1338,0.073,-0.0466,0.0674,-0.0466,0.0674
2015,lsu-tigers,-0.1388,0.6312,-0.4199,0.8529,-0.4232,0.8633
2015,memphis-tigers,-0.0856,0.1933,-0.1109,0.2139,-0.1155,0.2132
2015,miami-fl-hurricanes,-0.1123,0.0876,-0.0091,0.0841,-0.0091,0.0841
2015,michigan-state-spartans,-0.0357,0.601,-0.6002,0.7516,-0.5627,0.7211
2015,michigan-wolverines,-0.0459,0.2445,-0.1724,0.2627,-0.1927,0.2717
2015,minnesota-golden-gophers,-0.1786,0.1695,-0.0087,0.1509,-0.0087,0.1509
2015,mississippi-state-bulldogs,-0.0773,0.1449,-0.0458,0.1275,-0.0752,0.1283
2015,missouri-tigers,-0.1182,0.1363,-0.068,0.1268,-0.0677,0.1261
2015,navy-midshipmen,-0.0298,0.1574,-0.1016,0.1643,-0.0925,0.1644
2015,north-carolina-state-wolfpack,-0.1998,0.1192,-0.0228,0.1376,-0.0161,0.1333
2015,north-carolina-tar-heels,0.0345,0.2033,-0.171,0.2199,-0.1489,0.2155
2015,northwestern-wildcats,0.0004,0.2366,-0.1235,0.2594,-0.1341,0.2598
2015,notre-dame-fighting-irish,0.0135,0.3742,-0.3295,0.452,-0.3111,0.4561
2015,ohio-state-buckeyes,0.5121,1.4817,-1.5035,1.3058,-1.1729,1.1203
2015,oklahoma-sooners,-0.0487,0.2845,-0.2897,0.3596,-0.2957,0.368
2015,oklahoma-state-cowboys,-0.0046,0.2339,-0.2064,0.304,-0.2078,0.299
